,date,windspeedKmph,tempC,humidity,pressure,HeatIndexC,precipMM,date,Number
0,2020-02-27,16.125,2.125,87.75,1001.75,2.375,1.6875,2020-02-27,1.0
1,2020-02-28,21.75,3.0,81.5,1012.0,3.25,0.4625,2020-02-28,1.0
2,2020-02-29,29.25,8.0,75.5,993.875,8.125,0.7999999999999999,2020-02-29,3.0
3,2020-03-01,25.5,5.75,75.875,992.5,5.75,0.11249999999999999,2020-03-01,5.0
4,2020-03-02,15.375,5.375,87.25,989.875,5.375,0.8875,2020-03-02,5.0
5,2020-03-03,15.875,5.0,77.625,1000.875,5.0,0.25,2020-03-03,12.0
6,2020-03-04,14.25,6.25,80.5,1009.375,6.25,0.1,2020-03-04,17.0
7,2020-03-05,18.125,6.0,89.5,996.25,6.0,1.75,2020-03-05,24.0
8,2020-03-06,19.75,5.5,87.75,994.625,5.5,1.8499999999999999,2020-03-06,34.0
9,2020-03-07,13.875,6.125,77.625,1015.75,6.125,0.0125,2020-03-07,57.0
10,2020-03-08,25.0,7.75,82.5,1011.875,7.75,0.4625,2020-03-08,93.0
11,2020-03-09,19.0,6.75,82.0,1011.25,6.75,0.225,2020-03-09,135.0
12,2020-03-10,29.75,8.75,88.25,1005.75,9.5,2.45,2020-03-10,157.0
13,2020-03-11,22.625,10.75,85.25,1009.5,11.125,1.8375000000000001,2020-03-11,218.0
14,2020-03-12,33.125,8.875,67.25,1008.875,9.0,0.9874999999999999,2020-03-12,266.0
15,2020-03-13,24.75,6.625,73.25,1015.125,6.625,0.1,2020-03-13,360.0
16,2020-03-14,14.0,6.75,78.75,1019.5,6.75,0.0625,2020-03-14,403.0
17,2020-03-15,19.75,9.125,79.875,1014.0,9.125,0.025,2020-03-15,446.0
18,2020-03-16,7.375,10.625,77.875,1018.125,10.625,0.0125,2020-03-16,554.0
19,2020-03-17,12.75,8.875,62.5,1028.0,8.875,0.0,2020-03-17,634.0
20,2020-03-18,14.25,10.875,71.75,1026.375,10.875,0.0,2020-03-18,728.0
21,2020-03-19,7.875,10.875,78.625,1025.375,10.875,0.0,2020-03-19,842.0
22,2020-03-20,21.375,7.875,69.625,1026.375,7.875,0.0625,2020-03-20,971.0
23,2020-03-21,25.25,5.125,64.375,1028.125,5.125,0.0,2020-03-21,1139.0
24,2020-03-22,24.875,4.5,53.125,1030.75,4.5,0.0,2020-03-22,1358.0
25,2020-03-23,19.625,4.25,44.125,1032.5,4.25,0.0,2020-03-23,1508.0
26,2020-03-24,16.75,5.0,43.125,1031.0,5.0,0.0,2020-03-24,1685.0
27,2020-03-25,14.875,5.625,44.875,1027.5,5.625,0.0,2020-03-25,1861.0
28,2020-03-26,19.625,5.25,54.0,1023.375,5.25,0.0,2020-03-26,2100.0
29,2020-03-27,20.5,8.125,65.875,1020.875,8.125,0.0,2020-03-27,2426.0
30,2020-03-28,22.125,8.375,68.5,1023.0,8.375,0.0,2020-03-28,2678.0
31,2020-03-29,27.0,4.375,57.625,1029.375,4.375,0.08750000000000001,2020-03-29,2950.0
