"Gemeenten";"Personen met 2 of meer chronische aandoeningen";"Gebruik diabetes type II";"Chronische aandoening - COPD en Astma - Patiënten/Cliënten";"Chronische aandoening - Hartfalen - Patiënten/Cliënten";"Chronische aandoening - Diabetes - Patiënten/Cliënten";"Chronische aandoening - Reuma - Patiënten/Cliënten";"Chronische aandoening - Kanker - Patiënten/Cliënten"
"Aa en Hunze";4,9;6,7;880;970;753;529;1027
"Aalsmeer";4,0;5,0;1056;936;604;488;958
"Aalten";5,6;6,0;1156;1053;682;692;939
"Achtkarspelen";5,5;6,3;1642;1064;658;644;1181
"Alblasserdam";4,9;6,2;1052;733;421;446;753
"Albrandswaard";4,1;4,9;944;843;428;520;765
"Alkmaar";4,5;5,5;4850;3303;1988;1871;3615
"Almelo";5,8;7,2;3556;3027;1950;1575;3359
"Almere";3,7;5,6;7401;7257;2671;3151;7181
"Alphen aan den Rijn";4,7;4,8;5079;3976;2103;2313;3583
"Alphen-Chaam";4,5;5,6;363;380;243;134;332
"Altena";4,9;5,2;2656;1816;1324;1110;1744
"Ameland";4,1;5,0;145;95;78;115;115
"Amersfoort";3,9;4,6;7437;4904;2292;2316;4753
"Amstelveen";3,4;4,2;2969;2406;1740;1500;2610
"Amsterdam";3,7;5,4;32638;21543;12851;11093;28998
"Apeldoorn";5,3;5,8;7300;6083;3190;2933;5758
"Appingedam";7,9;8,3;527;760;356;366;708
"Arnhem";4,4;5,4;8048;5578;2554;2766;4985
"Assen";4,8;6,3;3454;2518;1473;1583;2494
"Asten";4,0;4,9;487;465;407;287;519
"Baarle-Nassau";6,8;6,7;315;326;211;146;259
"Baarn";4,3;4,7;1069;788;448;462;710
"Barendrecht";3,9;4,8;1798;1631;718;980;1490
"Barneveld";4,2;4,8;2639;1763;939;838;1778
"Beek";5,6;6,2;737;626;429;309;624
"Beekdaelen";6,0;6,4;1647;1360;1113;753;1366
"Beemster";3,5;4,9;279;282;190;174;236
"Beesel";5,7;6,1;539;562;412;265;496
"Berg en Dal";5,8;6,1;1664;1624;782;658;1198
"Bergeijk";4,4;5,5;658;579;386;352;572
"Bergen (L.)";6,1;7,5;578;555;361;293;554
"Bergen (NH.)";4,5;5,0;1004;835;727;565;878
"Bergen op Zoom";6,2;6,5;3341;2998;2036;1237;2511
"Berkelland";5,7;5,9;1606;1835;1178;990;1607
"Bernheze";4,8;4,9;1137;1078;801;578;880
"Best";5,3;5,0;1455;1017;474;525;968
"Beuningen";4,9;5,6;1189;902;508;541;856
"Beverwijk";5,3;6,2;1850;1566;952;800;1468
"Bladel";4,7;4,5;802;636;458;320;529
"Blaricum";"";"";357;296;187;218;280
"Bloemendaal";3,8;4,1;642;591;440;459;487
"Bodegraven-Reeuwijk";4,3;4,8;1314;1134;721;735;940
"Boekel";4,3;4,6;346;283;228;247;312
"Borger-Odoorn";5,6;7,0;957;1179;801;573;1118
"Borne";4,5;6,0;741;777;535;460;821
"Borsele";4,3;4,4;925;803;420;445;617
"Boxmeer";5,7;6,0;1234;1130;642;661;1057
"Boxtel";4,9;5,4;1396;973;675;567;1070
"Breda";4,9;5,7;8138;6721;3633;3040;5805
"Brielle";4,8;5,9;625;635;366;357;615
"Bronckhorst";5,7;6,3;1404;1540;1105;809;1476
"Brummen";5,7;6,1;998;974;511;435;860
"Brunssum";7,1;8,3;1568;1331;1083;693;1411
"Bunnik";4,7;5,2;596;548;325;227;453
"Bunschoten";3,6;4,7;948;531;369;293;644
"Buren";4,9;5,2;1169;945;603;420;1029
"Capelle aan den IJssel";5,2;6,2;2910;2657;1583;1374;2655
"Castricum";4,3;4,8;1258;975;750;699;894
"Coevorden";5,7;7,3;1592;1657;949;888;1584
"Cranendonck";5,2;5,0;835;740;546;323;643
"Cuijk";5,6;6,1;1139;998;494;586;911
"Culemborg";4,4;4,6;1301;1063;526;445;985
"Dalfsen";4,1;4,7;1038;922;704;564;958
"Dantumadiel";6,0;6,3;1042;719;565;513;806
"De Bilt";4,6;5,0;1937;1451;1035;725;1308
"De Fryske Marren";4,7;5,4;2113;2162;1250;1131;1715
"De Ronde Venen";4,1;4,6;1543;1433;888;685;1327
"De Wolden";4,9;6,5;813;976;665;533;911
"Delft";4,6;4,9;4677;3388;1582;1779;3364
"Delfzijl";7,3;9,5;1139;1459;791;778;1535
"Den Haag";4,7;6,5;23648;18561;8656;8365;21473
"Den Helder";5,9;6,9;2425;2181;1464;1066;2414
"Deurne";5,1;5,4;1241;1297;681;573;1112
"Deventer";4,9;5,7;5109;3932;1771;2322;3559
"Diemen";3,9;5,8;922;732;521;441;971
"Dinkelland";4,5;5,6;773;954;616;461;870
"Doesburg";6,0;7,7;610;522;300;228;459
"Doetinchem";5,9;6,2;2810;2222;1573;1231;2114
"Dongen";5,6;5,9;1197;1077;534;511;916
"Dordrecht";5,1;6,3;6531;4432;2592;2582;4935
"Drechterland";3,5;4,5;676;416;406;343;584
"Drimmelen";5,2;5,9;1172;979;646;500;943
"Dronten";4,6;5,3;1740;1591;757;873;1331
"Druten";5,1;5,9;932;816;388;420;665
"Duiven";5,1;5,5;1134;992;478;586;817
"Echt-Susteren";6,1;6,4;1475;1240;951;719;1179
"Edam-Volendam";4,3;4,9;1125;1270;816;877;1081
"Ede";4,4;5,4;5238;4034;1888;1954;3894
"Eemnes";"";"";355;279;131;209;294
"Eersel";4,8;4,6;777;506;374;327;517
"Eijsden-Margraten";5,2;5,6;1075;839;765;431;839
"Eindhoven";4,7;5,3;10142;7202;3917;3680;7517
"Elburg";5,0;5,7;1105;894;560;506;899
"Emmen";6,1;8,1;5153;6036;3216;2734;5205
"Enkhuizen";4,1;5,6;852;524;464;336;608
"Enschede";5,0;6,5;6651;6195;3109;2624;6242
"Epe";6,2;7,0;1415;1408;909;707;1287
"Ermelo";5,5;5,7;1386;984;603;502;910
"Etten-Leur";5,6;6,0;2078;1759;891;800;1490
"Geertruidenberg";5,8;6,2;1071;814;514;461;830
"Geldrop-Mierlo";5,5;6,1;1793;1337;1121;772;1427
"Gemert-Bakel";4,3;5,5;1073;1017;626;526;938
"Gennep";5,4;6,2;699;669;364;382;725
"Gilze en Rijen";5,7;6,8;1159;1044;628;563;1041
"Goeree-Overflakkee";5,7;6,9;2699;2372;1111;979;1988
"Goes";6,2;5,7;1875;1743;886;869;1204
"Goirle";5,9;5,9;1060;1029;599;517;823
"Gooise Meren";3,9;4,1;2188;1766;1063;1192;1428
"Gorinchem";5,4;6,1;1997;1373;923;762;1418
"Gouda";4,8;5,8;3135;2824;1503;1591;2603
"Grave";5,3;5,5;554;479;258;282;421
"Groningen";3,7;4,8;9957;6884;3282;3641;6388
"Gulpen-Wittem";5,8;6,0;639;520;524;291;540
"Haaksbergen";4,8;5,7;793;1000;504;456;759
"Haaren";4,4;4,5;474;479;352;279;393
"Haarlem";4,0;5,0;6860;4662;2744;2796;4733
"Haarlemmermeer";4,2;5,2;5538;4493;2325;2965;4797
"Halderberge";6,7;7,1;1345;1351;832;577;1287
"Hardenberg";4,7;5,9;2718;2240;1354;1252;2187
"Harderwijk";5,3;5,8;2456;1955;926;881;1640
"Hardinxveld-Giessendam";4,9;5,6;878;697;425;312;609
"Harlingen";5,5;6,3;845;602;347;433;619
"Hattem";4,9;5,5;587;423;318;265;408
"Heemskerk";4,9;6,4;1540;1336;922;795;1547
"Heemstede";4,7;4,6;931;774;581;532;672
"Heerde";5,6;6,3;853;711;625;498;750
"Heerenveen";5,1;5,7;2174;1840;1151;1259;1855
"Heerhugowaard";4,5;5,1;2334;1605;852;1010;1771
"Heerlen";7,5;7,8;5352;4128;3191;2046;4132
"Heeze-Leende";4,6;4,8;554;441;401;335;417
"Heiloo";4,3;4,5;871;600;438;413;569
"Hellendoorn";5,1;5,9;1502;1309;915;793;1290
"Hellevoetsluis";5,3;6,4;1827;1703;831;875;1575
"Helmond";5,0;6,0;4333;3571;1809;1376;3320
"Hendrik-Ido-Ambacht";4,2;5,4;1362;1058;552;618;974
"Hengelo";4,5;6,3;3177;2969;1816;1562;2974
"Het Hogeland";5,5;6,8;2349;2070;1192;1063;2124
"Heumen";4,9;5,0;697;593;404;409;513
"Heusden";5,0;5,4;1913;1550;993;922;1425
"Hillegom";4,6;5,2;960;723;429;436;666
"Hilvarenbeek";5,1;5,1;572;567;340;358;438
"Hilversum";4,3;5,0;3924;2863;1507;1928;2743
"Hoeksche Waard";5,2;5,9;3992;3400;1952;1989;2891
